input_id	dealiased_id	standard_id	short_id
url:https://greenelab.github.io/meta-review	url:https://greenelab.github.io/meta-review	url:https://greenelab.github.io/meta-review	6acIRW4q
doi:10.1101/642926	doi:10.1101/642926	doi:10.1101/642926	1E9EdQDCc
arxiv:1806.02473	arxiv:1806.02473	arxiv:1806.02473	P88nl7sq
pmid:28725467	pmid:28725467	pubmed:28725467	qzO8coFJ
doi:10.26434/chemrxiv.9159872.v1	doi:10.26434/chemrxiv.9159872.v1	doi:10.26434/chemrxiv.9159872.v1	b2hFuMuT
doi:10.7554/eLife.32822	doi:10.7554/eLife.32822	doi:10.7554/elife.32822	IhliSZDo
pmc:PMC6103790	pmc:PMC6103790	pmc:PMC6103790	mSMVRkoc
pubmed:30718888	pubmed:30718888	pubmed:30718888	126Wi5Us4
wikidata:Q56458321	wikidata:Q56458321	wikidata:Q56458321	QhC8yJ7V
isbn:9780262517638	isbn:9780262517638	isbn:9780262517638	zBPP9YKu
https://greenelab.github.io/meta-review/	https://greenelab.github.io/meta-review/	url:https://greenelab.github.io/meta-review/	1GGGHdsew
deep-review	doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	PZMP42Ak
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
